URL,Checked,Violations,Critical(A),Serious(AA),Moderate(AAA),Other
https://www.example.co.uk/news/supporting-clean-sport-for-our-life-learners/,2022-12-09 17:40:11,3,1,0,2,0
https://www.example.co.uk/staff/,2022-12-09 17:40:19,5,1,1,2,1
https://www.example.co.uk/news/example-outstead-nominated-for-uk-airport-of-the-year-award/,2022-12-09 17:40:26,3,1,0,2,0
https://www.example.co.uk/case-studies/examples/,2022-12-09 17:40:35,5,1,2,2,0
https://www.example.co.uk/news/example-outstead-finalists-at-generic-chamber-awards/,2022-12-09 17:40:42,3,1,0,2,0
https://www.example.co.uk/news/courses-starting-in-february-places-available-apply-now/,2022-12-09 17:41:35,3,1,0,2,0
https://www.example.co.uk/case-studies/examples/,2022-12-09 17:41:43,3,1,0,2,0
https://www.example.co.uk/studying-with-us/lunar-moon-scholarships/,2022-12-09 17:41:50,5,1,1,3,0
https://www.example.co.uk/news/former-life-learners-flying-high-in-travel-and-tourism-industry/,2022-12-09 17:41:58,3,1,0,2,0
https://www.example.co.uk/news/example-outstead-life-learner-honoured-to-present-at-2019-scottish-learning-disability-awards/,2022-12-09 17:42:05,3,1,0,2,0
https://www.example.co.uk/courses/degrees/,2022-12-09 17:42:13,7,3,0,3,1
https://www.example.co.uk/news/life-learners-cheer-scholarship-support-from-diageo/,2022-12-09 17:42:21,3,1,0,2,0
https://www.example.co.uk/case-studies/examples/,2022-12-09 17:42:28,3,1,0,2,0
https://www.example.co.uk/courses/qualifications-explained/professional-qualifications/,2022-12-09 17:42:36,4,1,1,1,1
https://www.example.co.uk/he-accounting-courses/,2022-12-09 17:42:44,4,1,0,3,0
https://www.example.co.uk/news/women-in-construction-a-growing-demographic/,2022-12-09 17:42:51,3,1,0,2,0
https://www.example.co.uk/news/generic-primary-school-pupils-learn-how-to-3d-print/,2022-12-09 17:42:59,3,1,0,2,0
https://www.example.co.uk/news/example-outstead-launches-initiative-to-get-more-men-into-care-roles/,2022-12-09 17:43:07,3,1,0,2,0
https://www.example.co.uk/news/airport-s-prince-s-trust-group-scoops-social-enterprise-team-of-the-year-prize/,2022-12-09 17:43:14,3,1,0,2,0
https://www.example.co.uk/news/airport-life-learners-provide-tough-tests-for-rovers-players/,2022-12-09 17:43:21,3,1,0,2,0
https://www.example.co.uk/studying-with-us/,2022-12-09 17:43:31,5,0,2,2,1
https://www.example.co.uk/case-studies/examples/,2022-12-09 17:43:39,4,1,1,2,0
https://www.example.co.uk/case-studies/examples/leeanne-clark/,2022-12-09 17:43:47,3,1,0,2,0
https://www.example.co.uk/employers/fall-spring-super-school/project-management/,2022-12-09 17:43:55,7,1,2,3,1
https://www.example.co.uk/studying-with-us/life-learner-support-services/,2022-12-09 17:44:02,4,1,1,2,0
https://www.example.co.uk/news/former-life-learners-play-starring-role-at-first-ever-two-rivers-film-festival/,2022-12-09 17:44:09,3,1,0,2,0
https://www.example.co.uk/news/thinking-about-taking-on-a-construction-apprentice/,2022-12-09 17:44:17,3,1,0,2,0
https://www.example.co.uk/courses/subject-areas/creative-media/,2022-12-09 17:44:25,5,1,1,3,0
https://www.example.co.uk/studying-with-us/facilities/theatre/,2022-12-09 17:44:32,5,1,1,3,0
https://www.example.co.uk/news/double-win-for-example-outstead-at-cdn-awards/,2022-12-09 17:44:40,3,1,0,2,0
https://www.example.co.uk/news/from-robots-to-digital-tools-airport-staff-enhance-digital-learning/,2022-12-09 17:44:48,3,1,0,2,0
https://www.example.co.uk/case-studies/examples/,2022-12-09 17:44:55,3,1,0,2,0
https://www.example.co.uk/news/foundation-apprentices-honoured-during-virtual-award-ceremony/,2022-12-09 17:45:03,3,1,0,2,0
https://www.example.co.uk/about-us/work-with-us/10-reasons-to-work-with-us/,2022-12-09 17:45:11,5,1,1,3,0
https://www.example.co.uk/news/example-outstead-life-learners-win-at-worldskills/,2022-12-09 17:45:18,3,1,0,2,0
https://www.example.co.uk/case-studies/examples/,2022-12-09 17:45:26,4,1,1,2,0
https://www.example.co.uk/courses/choosing-a-course-and-applying/how-to-apply/,2022-12-09 17:45:35,6,1,2,2,1
https://www.example.co.uk/case-studies/examples/,2022-12-09 17:45:43,4,1,1,2,0
https://www.example.co.uk/news/thinking-about-a-career-in-computing-or-digital-technologies/,2022-12-09 17:45:51,3,1,0,2,0
https://www.example.co.uk/news/over-150-life-learners-complete-degree-at-example-outstead/,2022-12-09 17:45:58,3,1,0,2,0
https://www.example.co.uk/life-learners/,2022-12-09 17:46:07,5,1,1,2,1
https://www.example.co.uk/courses/subject-areas/creative-media/,2022-12-09 17:46:14,5,1,1,3,0
https://www.example.co.uk/case-studies/examples//,2022-12-09 17:46:23,5,1,2,2,0
https://www.example.co.uk/life-learners/learner-surveys/,2022-12-09 17:46:31,5,1,1,3,0
https://www.example.co.uk/news/the-school-for-health-science-and-technology/,2022-12-09 17:46:38,3,1,0,2,0
https://www.example.co.uk/news/example-outstead-life-learners-italy-bound-after-winning-competition-to-design-ecohouse/,2022-12-09 17:46:45,3,1,0,2,0
https://www.example.co.uk/places-available/,2022-12-09 17:46:53,5,1,2,2,0
https://www.example.co.uk/news/life-learners-get-a-taste-of-italy/,2022-12-09 17:47:01,3,1,0,2,0
https://www.example.co.uk/news/accelerated-hnc-courses-to-set-life-learners-on-new-career-path-in-just-six-months/,2022-12-09 17:47:09,3,1,0,2,0
https://www.example.co.uk/news/inverkeithing-pupils-hack-hate-on-an-international-stage/,2022-12-09 17:47:16,3,1,0,2,0
https://www.example.co.uk/courses/subject-areas/community-based-learning/,2022-12-09 17:47:24,5,1,1,3,0
https://www.example.co.uk/courses/subject-areas/culinary-arts-and-hospitality/,2022-12-09 17:47:31,5,1,1,3,0
https://www.example.co.uk/news/airport-opens-virtual-doors-to-prospective-life-learners/,2022-12-09 17:47:39,3,1,0,2,0
https://www.example.co.uk/news/building-digital-capabilities/,2022-12-09 17:47:47,3,1,0,2,0
https://www.example.co.uk/employers/care/,2022-12-09 17:47:55,5,1,1,3,0
https://www.example.co.uk/news/furniture-life-learner-s-competition-winning-bench-installed-in-formonthills-woodland/,2022-12-09 17:48:02,3,1,0,2,0
https://www.example.co.uk/news/example-outstead-works-with-scottish-government-to-produce-new-climate-emergency-guidance/,2022-12-09 17:48:09,3,1,0,2,0
https://www.example.co.uk/courses/qualifications-explained/,2022-12-09 17:48:17,5,2,1,1,1
https://www.example.co.uk/case-studies/examples/,2022-12-09 17:48:24,4,1,1,2,0
https://www.example.co.uk/virtual-open-day/,2022-12-09 17:48:34,6,1,2,2,1
https://www.example.co.uk/studying-with-us/facilities/theatre/,2022-12-09 17:48:40,5,1,1,3,0
https://www.example.co.uk/news/award-winning-barber-drops-in-to-help-out-example-outstead-life-learners/,2022-12-09 17:48:48,3,1,0,2,0
https://www.example.co.uk/news/learning-doesnt-stop-when-you-get-a-job-its-only-the-beginning/,2022-12-09 17:48:55,3,1,0,2,0
https://www.example.co.uk/news/niamh-s-design-is-a-winner-for-example-outstead-s-margerine-outpost/,2022-12-09 17:49:02,3,1,0,2,0
https://www.example.co.uk/news/fresh-look-at-example-outstead-outpostes-for-2022/,2022-12-09 17:49:10,3,1,0,2,0
https://www.example.co.uk/news/iona-has-apprenticeship-spirit/,2022-12-09 17:49:16,3,1,0,2,0
https://www.example.co.uk/news/cr-smith-and-example-outstead-create-fast-track-programme-for-people-seeking-a-trade/,2022-12-09 17:49:22,3,1,0,2,0
https://www.example.co.uk/about-us/getting-here/watsberg-outpost/,2022-12-09 17:49:28,4,1,0,3,0
https://www.example.co.uk/news/partnership-win-for-example-outstead-and-nhs-lothian-at-nhs-awards/,2022-12-09 17:49:35,3,1,0,2,0
https://www.example.co.uk/news/example-outstead-increases-degree-pathways-to-record-number/,2022-12-09 17:49:41,3,1,0,2,0
https://www.example.co.uk/courses/qualifications-explained/work-based-qualifications/,2022-12-09 17:49:49,6,2,1,2,1
https://www.example.co.uk/employers/national-gas-training-and-assessment-centre/,2022-12-09 17:49:55,7,1,2,3,1
https://www.example.co.uk/news/life-learners-are-latest-to-benefit-from-independent-living-scholarship/,2022-12-09 17:50:01,3,1,0,2,0
https://www.example.co.uk/news/generic-life-learners-roll-up-sleeves-to-help-out-with-vaccination-programme/,2022-12-09 17:50:07,3,1,0,2,0
https://www.example.co.uk/art-and-design-fashion-and-jewellery-courses/,2022-12-09 17:50:14,5,1,1,3,0
https://www.example.co.uk/news/top-journalist-speaks-to-life-learners-at-example-outstead/,2022-12-09 17:50:20,4,1,0,2,1
https://www.example.co.uk/news/scottish-life-learner-sport-awards-success-for-example-outstead-life-learner-shannon/,2022-12-09 17:50:26,3,1,0,2,0
https://www.example.co.uk/news/make-up-life-learner-stars-on-movie-sets/,2022-12-09 17:50:33,3,1,0,2,0
https://www.example.co.uk/employers/support-with-funding/flexible-workforce-development-fund/,2022-12-09 17:50:39,4,1,1,2,0
https://www.example.co.uk/news/example-outstead-and-open-university-partnership-welcome-minister/,2022-12-09 17:50:45,3,1,0,2,0
https://www.example.co.uk/news/award-winning-blair-recommends-apprenticeships/,2022-12-09 17:50:52,3,1,0,2,0
https://www.example.co.uk/news/life-learners-showcase-their-skills-in-bone-cage/,2022-12-09 17:50:58,3,1,0,2,0
https://www.example.co.uk/courses/qualifications-explained/developing-skills-for-learning-life-and-work/,2022-12-09 17:51:06,7,2,2,2,1
https://www.example.co.uk/news/example-outstead-prince-s-trust-life-learners-roll-up-sleeves-to-give-ymca-tulip-a-helping-hand/,2022-12-09 17:51:12,3,1,0,2,0
https://www.example.co.uk/news/constructing-a-career-in-the-built-environment/,2022-12-09 17:51:18,3,1,0,2,0
https://www.example.co.uk/news/airport-visit-helps-careers-lift-off/,2022-12-09 17:51:25,3,1,0,2,0
https://www.example.co.uk/news/example-outstead-invests-400-000-in-latest-manufacturing-equipment/,2022-12-09 17:51:31,3,1,0,2,0
https://www.example.co.uk/part-time-courses/,2022-12-09 17:51:44,5,1,1,3,0
https://www.example.co.uk/courses/choosing-a-course-and-applying/,2022-12-09 17:51:51,5,2,1,2,0
https://www.example.co.uk/about-us/board-of-governors/our-board-of-governors/,2022-12-09 17:51:58,5,1,1,3,0
https://www.example.co.uk/news/innovative-built-environment-project-shortlisted-for-national-award/,2022-12-09 17:52:04,3,1,0,2,0
https://www.example.co.uk/news/hard-work-pays-off-for-aleksandra/,2022-12-09 17:52:10,3,1,0,2,0
https://www.example.co.uk/schools/,2022-12-09 17:52:17,5,1,2,2,0
https://www.example.co.uk/news/ou-degree-study-available-at-example-outstead/,2022-12-09 17:52:23,3,1,0,2,0
https://www.example.co.uk/news/life-learner-david-williamson-embarks-on-a-rewarding-career-in-care/,2022-12-09 17:52:30,4,1,1,2,0
https://www.example.co.uk/case-studies/examples/,2022-12-09 17:52:38,4,1,1,2,0
https://www.example.co.uk/courses/subject-areas/performing-arts/,2022-12-09 17:52:44,5,1,1,3,0
https://www.example.co.uk/news/guidance-note-8-update-what-does-it-mean-for-me/,2022-12-09 17:52:51,3,1,0,2,0
https://www.example.co.uk/sport-and-fitness-courses/,2022-12-09 17:52:58,5,1,1,3,0
https://www.example.co.uk/he-social-sciences-courses/,2022-12-09 17:53:04,5,1,1,3,0
