URL,Checked,Violations,Critical(A),Serious(AA),Moderate(AAA),Other
https://www.fife.ac.uk/studying-with-us/facilities/the-academy-restaurant/,2022-12-09 19:12:08,5,1,1,3,0
https://www.fife.ac.uk/case-studies/gordon-thomson/,2022-12-09 19:12:21,4,1,1,2,0
https://www.fife.ac.uk/courses/qualifications-explained/swap/,2022-12-09 19:12:38,5,1,2,1,1
https://www.fife.ac.uk/case-studies/susan-crombie-1/,2022-12-09 19:12:50,4,1,1,2,0
https://www.fife.ac.uk/courses/qualifications-explained/modern-apprenticeships/,2022-12-09 19:13:14,5,2,1,1,1
https://www.fife.ac.uk/courses/subject-areas/skills-boost/,2022-12-09 19:13:32,4,1,0,2,1
https://www.fife.ac.uk/courses/choosing-a-course-and-applying/the-scqf-table/,2022-12-09 19:13:49,6,1,2,2,1
https://www.fife.ac.uk/employers/,2022-12-09 19:14:06,6,1,2,3,0
https://www.fife.ac.uk/employers/andrew-carnegie-business-school/management-and-leadership/,2022-12-09 19:14:27,7,1,2,3,1
https://www.fife.ac.uk/case-studies/lewis-kerwin/,2022-12-09 19:14:33,5,1,2,2,0
https://www.fife.ac.uk/courses/degrees/degree-courses-at-fife-college/,2022-12-09 19:14:39,4,1,0,3,0
https://www.fife.ac.uk/about-us/board-of-governors/,2022-12-09 19:14:52,5,1,1,3,0
https://www.fife.ac.uk/employers/national-gas-training-and-assessment-centre/,2022-12-09 19:15:02,7,1,2,3,1
https://www.fife.ac.uk/corporate-and-governance/board-and-committee-meetings/,2022-12-09 19:15:12,5,1,1,3,0
https://www.fife.ac.uk/courses/subject-areas/access-courses/,2022-12-09 19:15:30,5,1,1,3,0
https://www.fife.ac.uk/courses/subject-areas/sport-and-fitness/,2022-12-09 19:15:47,5,1,1,3,0
https://www.fife.ac.uk/employers/andrew-carnegie-business-school/it-short-courses/,2022-12-09 19:16:02,6,1,2,2,1
https://www.fife.ac.uk/science-courses/,2022-12-09 19:16:19,5,1,1,3,0
https://www.fife.ac.uk/studying-with-us/adam-smith-scholarships/our-scholarships/,2022-12-09 19:16:26,4,1,1,2,0
https://www.fife.ac.uk/courses/qualifications-explained/work-based-qualifications/,2022-12-09 19:16:39,5,1,1,2,1
https://www.fife.ac.uk/fife-college-prospectus/,2022-12-09 19:16:49,5,1,2,1,1
https://www.fife.ac.uk/case-studies/michael-di-folco/,2022-12-09 19:17:10,5,1,2,2,0
https://www.fife.ac.uk/courses/qualifications-explained/national-qualifications-and-city-guilds-courses/,2022-12-09 19:17:26,6,2,1,2,1
https://www.fife.ac.uk/staff/,2022-12-09 19:17:42,5,1,1,2,1
{"Error": "[19:18:17] Problem saving file for url https://www.fife.ac.uk/sitemap/"}https://www.fife.ac.uk/about-us/board-of-governors/,2022-12-09 19:18:31,5,1,1,3,0
https://www.fife.ac.uk/corporate-and-governance/quality-and-performance-indicators/,2022-12-09 19:18:46,4,1,0,3,0
https://www.fife.ac.uk/case-studies/leeanne-clark/,2022-12-09 19:19:01,3,1,0,2,0
https://www.fife.ac.uk/studying-with-us/student-support-services/inclusion-team/,2022-12-09 19:19:11,4,1,0,3,0
https://www.fife.ac.uk/courses/choosing-a-course-and-applying/the-scqf-table/,2022-12-09 19:19:26,6,1,2,2,1
https://www.fife.ac.uk/case-studies/monika-cook/,2022-12-09 19:19:42,3,1,0,2,0
https://www.fife.ac.uk/courses/subject-areas/access-courses/,2022-12-09 19:20:01,5,1,1,3,0
https://www.fife.ac.uk/courses/subject-areas/performing-arts/,2022-12-09 19:20:12,5,1,1,3,0
https://www.fife.ac.uk/about-us/getting-here/rosyth-campus/,2022-12-09 19:20:23,4,1,0,3,0
https://www.fife.ac.uk/studying-with-us/student-support-services/cost-of-living-support/,2022-12-09 19:20:35,4,1,0,3,0
https://www.fife.ac.uk/he-culinary-arts-courses/,2022-12-09 19:20:47,4,1,0,3,0
https://www.fife.ac.uk/courses/qualifications-explained/highers/,2022-12-09 19:20:54,7,2,2,2,1
https://www.fife.ac.uk/community-and-supported-learning-courses/,2022-12-09 19:21:07,5,1,1,3,0
https://www.fife.ac.uk/case-studies/rachael-mcdonald/,2022-12-09 19:21:22,4,1,1,2,0
https://www.fife.ac.uk/courses/subject-areas/skills-boost/,2022-12-09 19:21:37,4,1,0,2,1
https://www.fife.ac.uk/courses/degrees/progressing-to-university/,2022-12-09 19:21:55,6,2,1,2,1
https://www.fife.ac.uk/case-studies/david-nicoll/,2022-12-09 19:22:14,5,1,1,3,0
https://www.fife.ac.uk/case-studies/keith-reilly/,2022-12-09 19:22:34,4,1,1,2,0
https://www.fife.ac.uk/case-studies/tyrese-hague/,2022-12-09 19:22:52,3,1,0,2,0
https://www.fife.ac.uk/employers/electrical-training/,2022-12-09 19:23:13,4,1,0,3,0
https://www.fife.ac.uk/employers/andrew-carnegie-business-school/project-management/,2022-12-09 19:23:29,7,1,2,3,1
https://www.fife.ac.uk/,2022-12-09 19:23:43,3,1,0,2,0
https://www.fife.ac.uk/administration-office-technologies-legal-services-police-studies-courses/,2022-12-09 19:23:57,5,1,1,3,0
